Parsing alignment ctenohystrica_mt12cp ... ... 
Length alignment: 7224
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: abrocoma_cinerea | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: aconaemys_fuscus | Num gaps: 6022 | Missing taxon?: N | % Missing data: 83.3610188261351
Taxon: aconaemys_porteri | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: aconaemys_sagei | Num gaps: 6528 | Missing taxon?: N | % Missing data: 90.3654485049834
Taxon: atherurus_africanus~ | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: atherurus_macrourus~ | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: bathyergus_janetta | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.7563676633444
Taxon: bathyergus_suillus | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: callistomys_pictus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: capromys_pilorides | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: carterodon_sulcidens~ | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: cavia_aperea~ | Num gaps: 804 | Missing taxon?: N | % Missing data: 11.1295681063123
Taxon: cavia_aperea_anolaimae | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_guianae | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_hypoleuca | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_pamparum | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_cutleri | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_fulgida | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: cavia_magna | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_porcellus | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: cavia_tschudii~ | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_tschudii_osgoodi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: chaetomys_subspinosus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: chinchilla_lanigera | Num gaps: 26 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: clyomys_laticeps | Num gaps: 6476 | Missing taxon?: N | % Missing data: 89.6456256921373
Taxon: coendou_bicolor | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_ichillus | Num gaps: 6544 | Missing taxon?: N | % Missing data: 90.5869324473976
