Sum.blengths,Largbr.rel2tree,H-M.dist.TN93,H-M.dist.JC69,H-M.dist.raw
ENSG00000198223,7.69568801656177,9.42999449977964,0.7174872008102,0.706327362881355,0.457547169811321
ENSG00000185291,6.0823459784765,11.7184505313545,0.713864292215743,0.705891212621912,0.457377049180328
ENSG00000188655,5.01288564340541,7.26438289743458,0.680838266150747,0.65911974228656,0.43854748603352
ENSG00000204671,6.63555819451425,6.35825935468951,0.678216269011196,0.670137605419202,0.443089430894309
ENSG00000125788,5.28953079222461,6.37288970530475,0.675620911709242,0.65994231577746,0.438888888888889
ENSG00000188771,5.95318052297092,6.60924045772535,0.666230725102081,0.627781020165011,0.425257731958763
ENSG00000269711,4.31510835991821,11.2238196234754,0.641167959242729,0.601020573900133,0.413461538461538
ENSG00000114455,7.95349022740345,13.1778114260731,0.639904196575299,0.620008929888351,0.421875
ENSG00000143631,3.93654847425487,17.461261448971,0.636596035178254,0.602208519628051,0.41399416909621
ENSG00000101883,2.65663089735272,19.367715470542,0.634716468489556,0.6204728952604,0.422077922077922
ENSG00000123576,5.24247650699928,7.71841509014904,0.605914811125676,0.59006750976169,0.408510638297872
ENSG00000145777,6.56285866034789,5.92080661027363,0.604168752347573,0.559195241949366,0.394160583941606
ENSG00000187533,4.41545697413312,7.37427811451503,0.602689114699179,0.583135664472364,0.405339805825243
ENSG00000160886,5.68170679177985,8.13716765728776,0.602120923973642,0.599722995721797,0.412878787878788
ENSG00000185252,6.70446225928289,15.9897041890484,0.600073060464452,0.590328478353194,0.408629441624365
ENSG00000175820,5.43180203436325,17.9415830584387,0.591546593696445,0.568972302676614,0.398769230769231
ENSG00000205755,6.12779771784981,13.1746153842315,0.589652216499171,0.580779465361898,0.404255319148936
ENSG00000125657,7.43141828781347,7.25758516222929,0.582533532338127,0.569496815580935,0.399014778325123
ENSG00000178591,4.22307193989007,9.80284061329026,0.580607171220552,0.563302371219487,0.396103896103896
ENSG00000131050,7.02936389918153,14.2837822896597,0.572210152795731,0.558876273983118,0.394009216589862
ENSG00000203933,5.00627996748596,10.6806455658193,0.55984880215488,0.523005044114986,0.376569037656904
ENSG00000187569,3.80050740465453,8.79056486654487,0.557760878408699,0.542558128649829,0.386178861788618
ENSG00000177324,5.24750859118911,7.11474338483863,0.55749978023966,0.546287989994542,0.387983706720978
ENSG00000184788,7.29176664979753,10.4984587861074,0.554414251541614,0.538153975263078,0.384036144578313
ENSG00000113520,7.3250027932142,8.2670303994248,0.548724373092053,0.537508258477605,0.383720930232558
ENSG00000263639,6.05596303443435,15.2932775096749,0.547585065680953,0.537933549104255,0.383928571428571
ENSG00000134588,4.84344319360384,7.19280466495796,0.545826894343308,0.524740038287013,0.377431906614786
ENSG00000215012,2.3805890938427,21.2597190269341,0.545749183280369,0.519860385419959,0.375
ENSG00000156500,4.44557429890598,7.75696579276645,0.537808971495486,0.522000187156764,0.376068376068376
ENSG00000180697,4.36892287887186,11.9685159994984,0.535260561406388,0.485966389776429,0.357664233576642
ENSG00000147896,4.59869357497442,9.07293541956773,0.532090943888609,0.514325304946742,0.372222222222222
ENSG00000261667,4.10435335333332,13.091679890358,0.531940877211893,0.523601041553238,0.376865671641791
ENSG00000130303,4.88989598867757,5.83329810343298,0.530603474550166,0.518249214016242,0.374193548387097
ENSG00000203963,6.0798843802845,15.7948814246044,0.529196526100299,0.491279168933465,0.360433604336043
ENSG00000160349,5.25827199981589,8.23576455716439,0.528895561935274,0.511088355597566,0.370588235294118
ENSG00000250423,5.80180020843932,8.10617959986328,0.516005412959747,0.494379801868881,0.362040816326531
ENSG00000178404,7.95457973035931,10.6825927388412,0.514931172816775,0.491254229619127,0.360420650095602
ENSG00000136244,6.63303179455203,5.45588239553928,0.513432701197333,0.491555139432824,0.360576923076923
ENSG00000111537,6.71884757409562,10.7944928252339,0.510276434824845,0.468438381841987,0.348387096774194
ENSG00000073008,7.28249048294473,5.69237196417676,0.508162727184848,0.501566795576839,0.365740740740741
ENSG00000176988,6.21216891544198,12.2955956832,0.497472615696178,0.495382688435192,0.362559241706161
ENSG00000100298,6.83120819055562,9.65158376401767,0.495215264762056,0.481691679947667,0.355421686746988
ENSG00000259823,4.64336232339404,8.17448785645066,0.494635552176146,0.472294015591837,0.350446428571429
ENSG00000184619,3.47464558346276,35.5045092891093,0.487756368560472,0.485703870084772,0.35752688172043
ENSG00000132016,6.29397950575871,9.33546897884026,0.487035444100124,0.462539266312895,0.345215759849906
ENSG00000131068,4.6996815377355,8.07877868233639,0.484234983239974,0.465961964497726,0.347058823529412
ENSG00000129680,7.57304971900122,6.49534732642505,0.484050939587868,0.464809479123397,0.346439169139466
ENSG00000221900,2.95347563072788,25.4142235730848,0.483440840143573,0.467748714425266,0.348017621145374
ENSG00000228486,2.30680028671695,15.7032039502515,0.482323244795513,0.460577979914619,0.344155844155844
ENSG00000171054,4.22376490442719,14.9420859468128,0.479543423023259,0.470215799494761,0.349337748344371
ENSG00000159763,7.5441398170309,5.33049773090235,0.478207658356012,0.459828354664807,0.34375
