mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.5	-0.1	4.5	12.7	6.2
488-EUARCHONTOGLIRES	0.2	0.2	0.5	-10.6	-5.4
490-PRIMATES	-0.1	-0.1	0	-5.1	-2.6
491-Anthropoidea-Tarsyus	0	-0.1	0.1	-1.3	-0.7
492-ANTHROPOIDEA	0.1	0.5	0	-5.4	-2.8
493-CATARRHINI	-0.1	-0.2	-0.2	1.3	0.6
494-Cercopithecoidea	-0.3	0.7	-0.3	-7	-3.6
495-CERCOPITHECINAE	1.1	2	2	-1	-0.5
552-PAPIONINI	2.1	4.9	1	-19.1	-10.1
555-M.nemestrina	0.4	1.3	0.1	-5.6	-2.8
557-M.fascicularis-M.mulatta	-0.8	-0.1	-1.1	-10.5	-5.4
575-Papio-Mandrillus	1.2	3.3	-0.5	-21.6	-11.4
585-Cercocebus-Mandrillus	-0.7	-0.7	-1.2	-8.1	-4.1
592-Colobus-Rhinopithecus	1.5	2.8	1.3	-5.5	-2.8
624-R.roxellana-R.bieti	-4.7	-2.4	-5.5	-24.6	-13.2
657-Hominidea-Nomascus	0.6	2.5	-0.1	-17.7	-9.3
683-HOMINIDEA	-0.8	-0.7	-1.2	-5.9	-3
684-HOMININAE	-0.5	0.3	-0.3	-3.9	-2
685-HOMININI	-1	-2.8	-0.1	19.4	9.3
686-Paniscus-Troglodites	3.4	4.3	2.8	-6.3	-3.2
695-Aotus-S-L-C-C	1.4	6	0.1	-22.6	-12
731-Cebus-Saimiri	0.4	-1.4	0.3	16.2	7.8
825-STREPSIRHINI	0.1	-0.1	0.1	-1.3	-0.6
827-propithecus-microcebus	-1	-1.3	-0.8	-1.2	-0.6
