mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.6	0	4.5	13.8	6.7
488-EUARCHONTOGLIRES	0.2	0.2	0.4	-10	-5.1
490-PRIMATES	-0.1	-0.1	0	-4.1	-2.1
491-Anthropoidea-Tarsyus	0	0	0	-2.3	-1.2
492-ANTHROPOIDEA	0.1	0.6	0	-5	-2.5
493-CATARRHINI	-0.1	-0.3	-0.1	2.1	1.1
494-Cercopithecoidea	-0.3	0.4	-0.2	-8.1	-4.1
495-CERCOPITHECINAE	1	1.9	1.8	-2.7	-1.4
552-PAPIONINI	1.9	4.6	1	-16.8	-8.8
555-M.nemestrina	0.2	1.2	-0.2	-7.6	-3.9
557-M.fascicularis-M.mulatta	-0.4	-0.2	-0.7	-6.2	-3.2
575-Papio-Mandrillus	0.9	3.1	-0.9	-21.7	-11.5
585-Cercocebus-Mandrillus	-0.8	-2.3	-1.6	-7.6	-3.9
592-Colobus-Rhinopithecus	1.4	2.4	1.2	-3.9	-1.9
624-R.roxellana-R.bieti	-4.4	-4.3	-2.7	-5.2	-2.6
657-Hominidea-Nomascus	0.6	2.3	-0.1	-16.2	-8.5
683-HOMINIDEA	-0.9	-0.8	-1.3	-4.8	-2.4
684-HOMININAE	-0.4	0.6	-0.2	-4.5	-2.3
685-HOMININI	-1	-3.4	0	20	9.5
686-Paniscus-Troglodites	1.8	2.7	2.7	1.8	0.9
695-Aotus-S-L-C-C	3.7	10.4	1	-33.3	-18.3
731-Cebus-Saimiri	2	1	1.1	8.2	4
825-STREPSIRHINI	0.1	0	0.1	-1.3	-0.7
827-propithecus-microcebus	-1.1	-1.3	-1.1	-2.8	-1.4
