Parsing alignment lchiroptera_subt1_nt12cp ... ... 
Length alignment: 222499
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 218995 | Missing taxon?: N | % Missing data: 98.4251614613998
Taxon: acerodon_jubatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_aequalis | Num gaps: 221935 | Missing taxon?: N | % Missing data: 99.7465157146774
Taxon: aethalops_alecto | Num gaps: 219255 | Missing taxon?: N | % Missing data: 98.5420159191727
Taxon: alionycteris_paucidentata | Num gaps: 219575 | Missing taxon?: N | % Missing data: 98.6858367902777
Taxon: anthops_ornatus | Num gaps: 221867 | Missing taxon?: N | % Missing data: 99.7159537795675
Taxon: aproteles_bulmerae~ | Num gaps: 222175 | Missing taxon?: N | % Missing data: 99.8543813680061
Taxon: asellia_tridens | Num gaps: 220543 | Missing taxon?: N | % Missing data: 99.1208949253705
Taxon: aselliscus_stoliczkanus | Num gaps: 215671 | Missing taxon?: N | % Missing data: 96.9312221627962
Taxon: aselliscus_tricuspidatus | Num gaps: 221895 | Missing taxon?: N | % Missing data: 99.7285381057892
Taxon: balionycteris_maculata | Num gaps: 219521 | Missing taxon?: N | % Missing data: 98.6615670182787
Taxon: boneia_bidens | Num gaps: 220471 | Missing taxon?: N | % Missing data: 99.0885352293718
Taxon: cardioderma_cor | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: casinycteris_argynnis | Num gaps: 219563 | Missing taxon?: N | % Missing data: 98.6804435076113
Taxon: casinycteris_campomaanensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: chironax_melanocephalus | Num gaps: 219195 | Missing taxon?: N | % Missing data: 98.5150495058405
Taxon: cloeotis_percivali | Num gaps: 220531 | Missing taxon?: N | % Missing data: 99.115501642704
Taxon: coelops_frithii | Num gaps: 220335 | Missing taxon?: N | % Missing data: 99.0274113591522
Taxon: craseonycteris_thonglongyai | Num gaps: 214069 | Missing taxon?: N | % Missing data: 96.2112189268266
Taxon: cynopterus_brachyotis | Num gaps: 216547 | Missing taxon?: N | % Missing data: 97.3249317974463
Taxon: cynopterus_horsfieldii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: cynopterus_sphinx | Num gaps: 199971 | Missing taxon?: N | % Missing data: 89.8750106742053
