Parsing alignment laurasiatheria_therest_nt3cp ... ... 
Length alignment: 177439
Number of taxa: 659
Taxon: acinonyx_jubatus | Num gaps: 176118 | Missing taxon?: N | % Missing data: 99.2555187980095
Taxon: ailuropoda_melanoleuca | Num gaps: 85532 | Missing taxon?: N | % Missing data: 48.2036080004959
Taxon: ailuropoda_melanoleuca_qinlingensis | Num gaps: 177288 | Missing taxon?: N | % Missing data: 99.9149003319451
Taxon: ailurus_fulgens | Num gaps: 170532 | Missing taxon?: N | % Missing data: 96.1073946539374
Taxon: ailurus_fulgens_styani | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: anourosorex_squamipes | Num gaps: 176958 | Missing taxon?: N | % Missing data: 99.7289209249376
Taxon: anourosorex_yamashinai | Num gaps: 177179 | Missing taxon?: N | % Missing data: 99.8534707702365
Taxon: aonyx_capensis | Num gaps: 176101 | Missing taxon?: N | % Missing data: 99.2459380406788
Taxon: aonyx_cinerea | Num gaps: 175556 | Missing taxon?: N | % Missing data: 98.9387902321361
Taxon: arctictis_binturong | Num gaps: 177190 | Missing taxon?: N | % Missing data: 99.8596700838035
Taxon: arctocephalus_australis | Num gaps: 175999 | Missing taxon?: N | % Missing data: 99.1884534966946
Taxon: arctocephalus_forsteri | Num gaps: 171083 | Missing taxon?: N | % Missing data: 96.4179239062438
Taxon: arctocephalus_gazella | Num gaps: 177047 | Missing taxon?: N | % Missing data: 99.7790790074335
Taxon: arctocephalus_pusillus | Num gaps: 177316 | Missing taxon?: N | % Missing data: 99.9306804028427
Taxon: arctocephalus_townsendi | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: arctocephalus_tropicalis~ | Num gaps: 177316 | Missing taxon?: N | % Missing data: 99.9306804028427
Taxon: arctogalidia_trivirgata | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: arctonyx_collaris | Num gaps: 175135 | Missing taxon?: N | % Missing data: 98.7015255947114
Taxon: atelerix_albiventris | Num gaps: 176921 | Missing taxon?: N | % Missing data: 99.7080686883943
Taxon: atelerix_algirus | Num gaps: 176373 | Missing taxon?: N | % Missing data: 99.3992301579698
Taxon: atelerix_frontalis | Num gaps: 176683 | Missing taxon?: N | % Missing data: 99.5739380857647
Taxon: atelocynus_microtis | Num gaps: 176352 | Missing taxon?: N | % Missing data: 99.3873951047966
Taxon: atilax_paludinosus | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: bassaricyon_alleni | Num gaps: 176393 | Missing taxon?: N | % Missing data: 99.4105016371823
Taxon: bassaricyon_gabbii | Num gaps: 176227 | Missing taxon?: N | % Missing data: 99.316948359718
Taxon: bassaricyon_medius_medius | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: bassaricyon_neblina_neblina | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: bassariscus_astutus | Num gaps: 175583 | Missing taxon?: N | % Missing data: 98.9540067290731
Taxon: bassariscus_sumichrasti | Num gaps: 176779 | Missing taxon?: N | % Missing data: 99.628041185985
Taxon: bdeogale_crassicauda | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: bdeogale_nigripes | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: blarina_brevicauda | Num gaps: 176401 | Missing taxon?: N | % Missing data: 99.4150102288674
Taxon: blarina_carolinensis | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: blarina_hylophaga | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: blarinella_griselda | Num gaps: 176958 | Missing taxon?: N | % Missing data: 99.7289209249376
Taxon: blarinella_quadraticauda | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: blarinella_wardi | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: callorhinus_ursinus | Num gaps: 175996 | Missing taxon?: N | % Missing data: 99.1867627748127
Taxon: lupulella_adusta~ | Num gaps: 176350 | Missing taxon?: N | % Missing data: 99.3862679568753
Taxon: canis_anthus | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_aureus | Num gaps: 176347 | Missing taxon?: N | % Missing data: 99.3845772349934
Taxon: canis_familiaris | Num gaps: 86719 | Missing taxon?: N | % Missing data: 48.8725702917622
Taxon: canis_himalayensis | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_indica | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_latrans | Num gaps: 175773 | Missing taxon?: N | % Missing data: 99.0610857815926
Taxon: canis_lupus | Num gaps: 174201 | Missing taxon?: N | % Missing data: 98.1751475154842
Taxon: canis_lupus_baileyi | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_campestris | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_chanco | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_desertorum | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_dingo | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_laniger | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupaster~ | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: canis_lupus_lycaon~ | Num gaps: 177439 | Missing taxon?: Y | % Missing data: 100
Taxon: lupulella_mesomelas~ | Num gaps: 176352 | Missing taxon?: N | % Missing data: 99.3873951047966
