Parsing alignment lagomorpha_nt3cp ... ... 
Length alignment: 65373
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 63639 | Missing taxon?: N | % Missing data: 97.3475287962921
Taxon: bunolagus_monticularis | Num gaps: 65057 | Missing taxon?: N | % Missing data: 99.5166200113197
Taxon: caprolagus_hispidus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_alleni | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_americanus | Num gaps: 64469 | Missing taxon?: N | % Missing data: 98.6171661083322
Taxon: lepus_arcticus | Num gaps: 65079 | Missing taxon?: N | % Missing data: 99.5502730485063
Taxon: lepus_brachyurus | Num gaps: 64948 | Missing taxon?: N | % Missing data: 99.3498845088951
Taxon: lepus_californicus | Num gaps: 64767 | Missing taxon?: N | % Missing data: 99.0730117938598
Taxon: lepus_californicus_melanotis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_californicus_xanti | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_callotis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_capensis | Num gaps: 63586 | Missing taxon?: N | % Missing data: 97.2664555703425
Taxon: lepus_capensis_mediterraneus~ | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_castroviejoi | Num gaps: 64457 | Missing taxon?: N | % Missing data: 98.5988099062304
Taxon: lepus_comus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_coreanus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_corsicanus | Num gaps: 64781 | Missing taxon?: N | % Missing data: 99.0944273629786
Taxon: lepus_europaeus | Num gaps: 60127 | Missing taxon?: N | % Missing data: 91.9752803145029
Taxon: lepus_flavigularis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_granatensis | Num gaps: 64189 | Missing taxon?: N | % Missing data: 98.1888547259572
Taxon: lepus_hainanus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_insularis~ | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_mandshuricus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_oiostolus | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: lepus_oiostolus_qinghaiensis~ | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_othus | Num gaps: 65080 | Missing taxon?: N | % Missing data: 99.5518027320147
Taxon: lepus_peguensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_saxatilis | Num gaps: 64759 | Missing taxon?: N | % Missing data: 99.060774325792
Taxon: lepus_sinensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_timidus | Num gaps: 64776 | Missing taxon?: N | % Missing data: 99.0867789454362
Taxon: lepus_tolai | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_townsendii | Num gaps: 64763 | Missing taxon?: N | % Missing data: 99.0668930598259
Taxon: lepus_yarkandensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: nesolagus_netscheri | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: nesolagus_timinsi | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_alpina | Num gaps: 65078 | Missing taxon?: N | % Missing data: 99.5487433649978
Taxon: ochotona_scorodumovi | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_annectens | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: ochotona_cansus_cansus | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: ochotona_cansus_morosa | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_cansus_stevensi | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_collaris | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_curzoniae | Num gaps: 64227 | Missing taxon?: N | % Missing data: 98.2469826992795
Taxon: ochotona_curzoniae_melanostoma~ | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_dauurica | Num gaps: 64602 | Missing taxon?: N | % Missing data: 98.8206140149603
Taxon: ochotona_dauurica_bedfordi | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: ochotona_erythrotis | Num gaps: 65219 | Missing taxon?: N | % Missing data: 99.7644287396938
Taxon: ochotona_forresti | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_himalayana | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_hoffmanni | Num gaps: 65075 | Missing taxon?: N | % Missing data: 99.5441543144723
Taxon: ochotona_huangensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_hyperborea | Num gaps: 63788 | Missing taxon?: N | % Missing data: 97.5754516390559
Taxon: ochotona_koslowi | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_ladacensis | Num gaps: 65219 | Missing taxon?: N | % Missing data: 99.7644287396938
Taxon: ochotona_macrotis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_mantchurica | Num gaps: 65074 | Missing taxon?: N | % Missing data: 99.5426246309639
Taxon: ochotona_nubrica | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: ochotona_pallasi_helanshanensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_pallasi_pricei | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_pallasi_sunidica | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_princeps | Num gaps: 1617 | Missing taxon?: N | % Missing data: 2.47349823321555
Taxon: ochotona_pusilla | Num gaps: 65142 | Missing taxon?: N | % Missing data: 99.6466431095406
Taxon: ochotona_roylei | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
