Parsing alignment laurasiatheria_cetartiodactyla_mt12cp ... ... 
Length alignment: 7240
Number of taxa: 431
Taxon: addax_nasomaculatus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: aepyceros_melampus | Num gaps: 36 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: alcelaphus_buselaphus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: alcelaphus_lichtensteini | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: alces_alces | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: alces_alces_cameloides | Num gaps: 566 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: alces_alces_pfitzmayeri | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: ammotragus_lervia | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antidorcas_marsupialis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antilocapra_americana | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: antilocapra_americana_sonoriensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: antilope_cervicapra | Num gaps: 32 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: axis_axis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: axis_porcinus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: babyrousa_babyrussa | Num gaps: 5876 | Missing taxon?: N | % Missing data: 81.1602209944751
Taxon: babyrousa_celebensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: balaena_mysticetus | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_acutorostrata | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_bonaerensis | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_borealis | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_brydei | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_edeni | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_musculus | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_omurai | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: balaenoptera_physalus | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: beatragus_hunteri | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: berardius_bairdii | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: bos_bison | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_bonasus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: blastocerus_dichotomus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_frontalis | Num gaps: 6094 | Missing taxon?: N | % Missing data: 84.171270718232
Taxon: bos_gaurus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_grunniens | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_indicus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_javanicus~ | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bos_javanicus_lowi | Num gaps: 566 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: bos_mutus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_primigenius | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: bos_sauveli | Num gaps: 6102 | Missing taxon?: N | % Missing data: 84.2817679558011
Taxon: bos_taurus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: boselaphus_tragocamelus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_bubalis | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_carabanensis | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: bubalus_depressicornis | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: bubalus_mindorensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: bubalus_quarlesi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: budorcas_taxicolor | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: budorcas_taxicolor_tibetana | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: camelops_cf_hesternus_pdh_2015 | Num gaps: 568 | Missing taxon?: N | % Missing data: 7.84530386740331
Taxon: camelus_bactrianus | Num gaps: 36 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: camelus_dromedarius | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: camelus_ferus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: caperea_marginata | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: capra_aegagrus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_aegagrus_blythi~ | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_aegagrus_cretica | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_caucasica | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_cylindricornis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capra_falconeri | Num gaps: 56 | Missing taxon?: N | % Missing data: 0.773480662983425
Taxon: capra_hircus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_ibex | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capra_nubiana | Num gaps: 54 | Missing taxon?: N | % Missing data: 0.74585635359116
Taxon: capra_pyrenaica_hispanica | Num gaps: 6582 | Missing taxon?: N | % Missing data: 90.9116022099447
Taxon: capra_sibirica | Num gaps: 78 | Missing taxon?: N | % Missing data: 1.07734806629834
Taxon: capreolus_capreolus | Num gaps: 44 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: capreolus_pygargus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: capreolus_pygargus_tianschanicus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capricornis_crispus | Num gaps: 32 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: capricornis_milneedwardsii | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: capricornis_milneedwardsii_maritimus~ | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: capricornis_sumatraensis | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capricornis_swinhoei | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: capricornis_thar_jamrachi | Num gaps: 566 | Missing taxon?: N | % Missing data: 7.81767955801105
Taxon: catagonus_wagneri | Num gaps: 6554 | Missing taxon?: N | % Missing data: 90.524861878453
Taxon: cephalophus_adersi | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_callipygus | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_dorsalis | Num gaps: 56 | Missing taxon?: N | % Missing data: 0.773480662983425
Taxon: cephalophus_harveyi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cephalophus_jentinki | Num gaps: 94 | Missing taxon?: N | % Missing data: 1.29834254143646
Taxon: cephalophus_leucogaster | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_natalensis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalophus_niger | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cephalophus_nigrifrons | Num gaps: 76 | Missing taxon?: N | % Missing data: 1.04972375690608
Taxon: cephalophus_ogilbyi | Num gaps: 132 | Missing taxon?: N | % Missing data: 1.8232044198895
Taxon: cephalophus_rubidus | Num gaps: 6488 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: cephalophus_rufilatus | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: cephalophus_silvicultor | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: cephalophus_spadix | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
