Parsing alignment rod_subt2_nt12cp ... ... 
Length alignment: 206736
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 205224 | Missing taxon?: N | % Missing data: 99.268632458788
Taxon: abrawayaomys_ruschii | Num gaps: 205910 | Missing taxon?: N | % Missing data: 99.6004566210046
Taxon: abrothrix_andinus | Num gaps: 203872 | Missing taxon?: N | % Missing data: 98.6146583081805
Taxon: abrothrix_hershkovitzi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_illuteus | Num gaps: 205968 | Missing taxon?: N | % Missing data: 99.6285117250987
Taxon: abrothrix_jelskii | Num gaps: 203994 | Missing taxon?: N | % Missing data: 98.6736707685164
Taxon: abrothrix_lanosus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_longipilis | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: abrothrix_longipilis_moerens | Num gaps: 203176 | Missing taxon?: N | % Missing data: 98.2779970590512
Taxon: abrothrix_markhami | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus | Num gaps: 205200 | Missing taxon?: N | % Missing data: 99.2570234501974
Taxon: abrothrix_olivaceus_beatus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_brachiotis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_canescens | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_pencanus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_xanthorhinus | Num gaps: 205046 | Missing taxon?: N | % Missing data: 99.1825323117406
Taxon: aegialomys_galapagoensis | Num gaps: 205892 | Missing taxon?: N | % Missing data: 99.5917498645616
Taxon: aegialomys_xanthaeolus | Num gaps: 204508 | Missing taxon?: N | % Missing data: 98.9222970358331
Taxon: aepeomys_lugens | Num gaps: 205978 | Missing taxon?: N | % Missing data: 99.6333488120114
Taxon: aethomys_chrysophilus | Num gaps: 205374 | Missing taxon?: N | % Missing data: 99.3411887624797
Taxon: aethomys_kaiseri | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_aerosus | Num gaps: 205988 | Missing taxon?: N | % Missing data: 99.6381858989242
Taxon: akodon_aff_cursor | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_affinis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_albiventer | Num gaps: 205996 | Missing taxon?: N | % Missing data: 99.6420555684545
Taxon: akodon_azarae | Num gaps: 205898 | Missing taxon?: N | % Missing data: 99.5946521167092
Taxon: akodon_baliolus | Num gaps: 203826 | Missing taxon?: N | % Missing data: 98.5924077083817
Taxon: akodon_boliviensis | Num gaps: 203708 | Missing taxon?: N | % Missing data: 98.5353300828109
