mean	q-2.5%	q-97.5%	var	sd
487-MAMMALIA	-0.5	0	4.8	14.7	7.1
488-EUARCHONTOGLIRES	0	0	0.2	-11.7	-6
490-PRIMATES	-0.2	-0.1	-0.1	-10	-5.1
491-HAPLORRHINI	0	-0.1	0.1	-0.8	-0.4
492-ANTHROPOIDEA	0.2	0.7	0.1	-5.4	-2.7
493-CATARRHINI	-0.2	-0.3	-0.2	0.5	0.2
494-CERCOPITHECOIDEA	-0.3	0.6	0	-6	-3
495-CERCOPITHECINAE	0.9	1.8	1.5	-2.8	-1.4
552-PAPIONINI	2	4.5	1.1	-16.7	-8.7
555-M.nemestrina-M.fascicularis	0.2	1.1	-0.1	-7.8	-4
557-M.fascicularis-M.mulatta	-1.2	-2.2	0.2	19.8	9.4
575-PAPIO-MANDRILLUS	0.8	2.9	-0.9	-19.4	-10.2
585-C.atys-M.leucophaeus	-1	-3	-1.8	-5.5	-2.8
592-COLOBINAE	1.4	1.9	1.2	-3.7	-1.9
624-R.roxellana-R.bieti	0	5	-2.6	-12.8	-6.6
657-HOMINOIDEA	0.6	2.2	0	-15.4	-8
683-HOMINIDEA	-0.8	-0.6	-1.1	-4.9	-2.5
684-HOMININAE	-0.5	0.7	-0.2	-5.5	-2.8
685-HOMININI	-1.1	-4	-0.1	20.5	9.8
686-P.paniscus-P.troglodites	-0.7	1.3	0.4	-6	-3.1
695-AOTIDAE-CALLITRICHIDAE	1.3	4.4	0	-20.7	-11
731-CEBIDAE	0.3	-1.5	0.1	16.1	7.8
825-STREPSIRRHINI	0.1	-0.1	0.1	0.4	0.2
827-PROPITHECUS-MICROCEBUS	-1.1	-1.7	-0.9	-1.4	-0.7
