Parsing alignment laurasiatheria_cetartiodactyla_nt3cp ... ... 
Length alignment: 95697
Number of taxa: 431
Taxon: addax_nasomaculatus | Num gaps: 95502 | Missing taxon?: N | % Missing data: 99.796231856798
Taxon: aepyceros_melampus | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: alcelaphus_buselaphus | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: alcelaphus_lichtensteini | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: alces_alces | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.8234009425583
Taxon: alces_alces_cameloides | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: alces_alces_pfitzmayeri | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: ammotragus_lervia | Num gaps: 95442 | Missing taxon?: N | % Missing data: 99.733533966582
Taxon: antidorcas_marsupialis | Num gaps: 94602 | Missing taxon?: N | % Missing data: 98.8557635035581
Taxon: antilocapra_americana | Num gaps: 89034 | Missing taxon?: N | % Missing data: 93.0373992915138
Taxon: antilocapra_americana_sonoriensis | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: antilope_cervicapra | Num gaps: 95287 | Missing taxon?: N | % Missing data: 99.5715644168574
Taxon: axis_axis | Num gaps: 95550 | Missing taxon?: N | % Missing data: 99.8463901689708
Taxon: axis_porcinus | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: babyrousa_babyrussa | Num gaps: 94945 | Missing taxon?: N | % Missing data: 99.2141864426262
Taxon: babyrousa_celebensis | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: balaena_mysticetus | Num gaps: 94186 | Missing taxon?: N | % Missing data: 98.4210581313939
Taxon: balaenoptera_acutorostrata | Num gaps: 87712 | Missing taxon?: N | % Missing data: 91.6559557770881
Taxon: balaenoptera_bonaerensis | Num gaps: 95018 | Missing taxon?: N | % Missing data: 99.2904688757223
Taxon: balaenoptera_borealis | Num gaps: 94859 | Missing taxon?: N | % Missing data: 99.12431946665
Taxon: balaenoptera_brydei | Num gaps: 95697 | Missing taxon?: Y | % Missing data: 100
Taxon: balaenoptera_edeni | Num gaps: 94677 | Missing taxon?: N | % Missing data: 98.9341358663281
