Parsing alignment lchiroptera_subt2_mt3cp ... ... 
Length alignment: 3620
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: anoura_caudifer | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: anoura_cultrata | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: anoura_geoffroyi | Num gaps: 2966 | Missing taxon?: N | % Missing data: 81.9337016574586
Taxon: anoura_latidens | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: antrozous_dubiaquercus | Num gaps: 3244 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: antrozous_pallidus | Num gaps: 2602 | Missing taxon?: N | % Missing data: 71.878453038674
Taxon: ardops_nichollsi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: arielulus_aureocollaris | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: arielulus_cuprosus | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: ariteus_flavescens | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_amplus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_anderseni | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_aztecus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_bogotensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_cinereus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_concolor | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_fimbriatus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_fraterculus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_glaucus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
