Parsing alignment rodentia_squirrel_nt3cp ... ... 
Length alignment: 12445
Number of taxa: 267
Taxon: aeretes_melanopterus | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: aeromys_tephromelas | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ammospermophilus_harrisii | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ammospermophilus_insularis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: ammospermophilus_interpres | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: ammospermophilus_leucurus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: aplodontia_rufa | Num gaps: 6492 | Missing taxon?: N | % Missing data: 52.1655283246284
Taxon: aplodontia_rufa_californica | Num gaps: 12199 | Missing taxon?: N | % Missing data: 98.023302531137
Taxon: aplodontia_rufa_humboldtiana | Num gaps: 12222 | Missing taxon?: N | % Missing data: 98.2081157091201
Taxon: aplodontia_rufa_nigra | Num gaps: 12204 | Missing taxon?: N | % Missing data: 98.0634793089594
Taxon: aplodontia_rufa_olympica | Num gaps: 12196 | Missing taxon?: N | % Missing data: 97.9991964644436
Taxon: aplodontia_rufa_pacifica | Num gaps: 12196 | Missing taxon?: N | % Missing data: 97.9991964644436
Taxon: aplodontia_rufa_phaea | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: atlantoxerus_getulus | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: belomys_pearsonii | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: callosciurus_caniceps | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_erythraeus | Num gaps: 11350 | Missing taxon?: N | % Missing data: 91.2012856568903
Taxon: callosciurus_erythraeus_griseimanus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_finlaysonii~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_inornatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_nigrovittatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callosciurus_notatus | Num gaps: 11638 | Missing taxon?: N | % Missing data: 93.5154680594616
Taxon: callosciurus_prevostii | Num gaps: 11861 | Missing taxon?: N | % Missing data: 95.3073523503415
Taxon: callospermophilus_lateralis | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: callospermophilus_madrensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: callospermophilus_saturatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_gunnisoni | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_leucurus | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: cynomys_ludovicianus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_mexicanus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomys_parvidens | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_gularis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_lokriah | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_pernyi | Num gaps: 11796 | Missing taxon?: N | % Missing data: 94.7850542386501
Taxon: dremomys_pernyi_owstoni~ | Num gaps: 11622 | Missing taxon?: N | % Missing data: 93.3869023704299
